id;theme;soustheme;type;question;reponse
508;Politique & Institutions;Chefs d'État & organisations;vrai/faux;Vrai ou faux : Premier président de la Ve République française — Charles de Gaulle ?;Vrai
509;Philosophie & Pensée;Concepts clés;ouverte;Quel philosophe associe-t-on à : Le féminisme existentialiste ?;Simone de Beauvoir
510;Géographie;Capitales;vrai/faux;Vrai ou faux : Yaoundé est la capitale de Cameroun ?;Vrai
511;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Islande est Amsterdam ?;Faux (c'est Reykjavik)
512;Géographie;Capitales;ouverte;De quel pays La Paz est-elle la capitale ?;Bolivie
513;Arts plastiques & Architecture;Œuvres emblématiques;ouverte;Quelle œuvre célèbre est associée à Auguste Rodin ?;Le Penseur
514;Cinéma & Séries;Films, prix, répliques;ouverte;Acteur principal de 'Forrest Gump';Tom Hanks
515;Géographie;Capitales;vrai/faux;Vrai ou faux : Kuala Lumpur est la capitale de Malaisie ?;Vrai
516;Arts plastiques & Architecture;Œuvres emblématiques;ouverte;Quelle œuvre célèbre est associée à Johannes Vermeer ?;La Jeune Fille à la perle
517;Sciences & Tech;Inventions;ouverte;Qui a inventé/découvert : Téléphone ?;Alexander Graham Bell
518;Chronologies & Premières fois;Pionniers & records;vrai/faux;Vrai ou faux : Première ville à atteindre 1 million d'habitants — Rome antique ?;Vrai
519;Géographie;Capitales;ouverte;De quel pays Accra est-elle la capitale ?;Ghana
520;Géographie;Capitales;vrai/faux;Vrai ou faux : Berne est la capitale de Suisse ?;Vrai
521;Nature & Environnement;Faune, flore et climat;vrai/faux;Vrai ou faux : Biome caractérisé par un sol gelé en permanence — Pergélisol (permafrost) ?;Vrai
522;Musique;Œuvres, genres, artistes;vrai/faux;Vrai ou faux : Guitare à double manche : guitariste de Led Zeppelin — Jimmy Page ?;Vrai
523;Littérature;Œuvres et auteurs;vrai/faux;Vrai ou faux : « Harry Potter à l'école des sorciers » est de J. K. Rowling ?;Vrai
524;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Hongrie est Berlin ?;Faux (c'est Budapest)
525;Sciences & Tech;Inventions;vrai/faux;Vrai ou faux : Électricité alternée (AC) est associé(e) à Nikola Tesla ?;Vrai
526;Arts plastiques & Architecture;Œuvres emblématiques;ouverte;Quelle œuvre célèbre est associée à Diego Velázquez ?;Les Ménines
527;Géographie;Capitales;vrai/faux;Vrai ou faux : Quito est la capitale de Équateur ?;Vrai
528;Géographie;Capitales;ouverte;Quelle est la capitale de Nicaragua ?;Managua
529;Arts plastiques & Architecture;Œuvres emblématiques;vrai/faux;Vrai ou faux : « La Danse » est de Henri Matisse ?;Vrai
530;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Guatemala est Islamabad ?;Faux (c'est Guatemala)
531;Géographie;Capitales;ouverte;De quel pays Dacca est-elle la capitale ?;Bangladesh
532;Musique;Œuvres, genres, artistes;ouverte;DJ français de 'Titanium';David Guetta
533;Cinéma & Séries;Films, prix, répliques;ouverte;Acteur principal de 'Le Fabuleux Destin d'Amélie Poulain';Audrey Tautou
534;Géographie;Capitales;ouverte;Quelle est la capitale de Italie ?;Rome
535;Géographie;Capitales;ouverte;De quel pays Pyongyang est-elle la capitale ?;Corée du Nord
536;Géographie;Capitales;ouverte;De quel pays Libreville est-elle la capitale ?;Gabon
537;Géographie;Capitales;vrai/faux;Vrai ou faux : Bruxelles est la capitale de Belgique ?;Vrai
538;Théâtre & Danse;Pièces, opéras, ballets;ouverte;Comédie-ballet de Molière et Lully;Le Bourgeois gentilhomme
539;Médecine & Corps humain;Anatomie/Soins;ouverte;Organe affecté par la cirrhose;Le foie
540;Nature & Environnement;Faune, flore et climat;vrai/faux;Vrai ou faux : Plus long fleuve du monde — Nil ?;Vrai
541;Politique & Institutions;Chefs d'État & organisations;vrai/faux;Vrai ou faux : Président américain assassiné à Dallas en 1963 — John F. Kennedy ?;Vrai
542;Géographie;Capitales;vrai/faux;Vrai ou faux : La Havane est la capitale de Cuba ?;Vrai
543;Géographie;Capitales;ouverte;De quel pays Belgrade est-elle la capitale ?;Serbie
544;Cinéma & Séries;Films, prix, répliques;ouverte;Réalisateur du 'Parrain';Francis Ford Coppola
545;Géographie;Capitales;ouverte;De quel pays Ouagadougou est-elle la capitale ?;Burkina Faso
546;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Venezuela est Athènes ?;Faux (c'est Caracas)
547;Arts plastiques & Architecture;Œuvres emblématiques;ouverte;Qui a peint/sculpté « Impression, soleil levant » ?;Claude Monet
548;Transports & Explorations;Explorations & engins;vrai/faux;Vrai ou faux : Nom du rover martien arrivé en 2021 — Perseverance ?;Vrai
549;Médecine & Corps humain;Anatomie/Soins;vrai/faux;Vrai ou faux : Hormone régulant la glycémie — L'insuline ?;Vrai
550;Géographie;Capitales;vrai/faux;Vrai ou faux : Kampala est la capitale de Ouganda ?;Vrai
551;Philosophie & Pensée;Concepts clés;vrai/faux;Vrai ou faux : Friedrich Nietzsche est lié à Le surhomme ?;Vrai
552;Histoire;Dates clés;ouverte;En quelle année a eu lieu : Introduction de l'euro fiduciaire ?;2002
553;Histoire;Dates clés;vrai/faux;Vrai ou faux : Traité de Maastricht a eu lieu en 1992 ?;Vrai
554;Gastronomie;Plats & produits;ouverte;Invention du sandwich attribuée au;Comte de Sandwich
555;Technologies du quotidien;Objets & internet;vrai/faux;Vrai ou faux : Technique de chiffrement qui utilise une paire de clés — Cryptographie asymétrique ?;Vrai
556;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Tadjikistan est Lisbonne ?;Faux (c'est Douchanbé)
557;Philosophie & Pensée;Concepts clés;vrai/faux;Vrai ou faux : Karl Marx est lié à Le matérialisme historique ?;Vrai
558;Géographie;Capitales;ouverte;De quel pays Rome est-elle la capitale ?;Italie
559;Sciences & Tech;Inventions;ouverte;Qui a inventé/découvert : GPS ?;Département de la Défense des États-Unis
560;Géographie;Capitales;vrai/faux;Vrai ou faux : Antananarivo est la capitale de Madagascar ?;Vrai
561;Sport;Records & événements;ouverte;Art martial utilisant projections et immobilisations;Judo
562;Littérature;Œuvres et auteurs;vrai/faux;Vrai ou faux : « La Servante écarlate » est de Margaret Atwood ?;Vrai
563;Médecine & Corps humain;Anatomie/Soins;vrai/faux;Vrai ou faux : Gaz utilisé pour l'anesthésie au XIXe siècle (gaz hilarant) — Protoxyde d'azote ?;Vrai
564;Géographie;Capitales;vrai/faux;Vrai ou faux : Vilnius est la capitale de Lituanie ?;Vrai
565;Chronologies & Premières fois;Pionniers & records;vrai/faux;Vrai ou faux : Premier message envoyé sur ARPANET — LOGIN ?;Vrai
566;Arts plastiques & Architecture;Œuvres emblématiques;vrai/faux;Vrai ou faux : « La Classe de danse » est de Edgar Degas ?;Vrai
567;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Niger est Pékin ?;Faux (c'est Niamey)
568;Géographie;Capitales;ouverte;Quelle est la capitale de Ukraine ?;Kiev
569;Philosophie & Pensée;Concepts clés;vrai/faux;Vrai ou faux : David Hume est lié à Le scepticisme empiriste ?;Vrai
570;Géographie;Capitales;vrai/faux;Vrai ou faux : Mexico est la capitale de Mexique ?;Vrai
571;Géographie;Capitales;ouverte;Quelle est la capitale du Chili ?;Santiago
572;Littérature;Œuvres et auteurs;ouverte;Qui a écrit « Huis clos » ?;Jean-Paul Sartre
573;Arts plastiques & Architecture;Œuvres emblématiques;vrai/faux;Vrai ou faux : « Marilyn Diptych » est de Andy Warhol ?;Vrai
574;Géographie;Capitales;vrai/faux;Vrai ou faux : Saint-Domingue est la capitale de République dominicaine ?;Vrai
575;Langue française & Linguistique;Mots, figures et étymologie;ouverte;Origine latine du mot 'agriculture';ager (champ) + cultura (culture)
576;Géographie;Capitales;ouverte;De quel pays Gitega est-elle la capitale ?;Burundi
577;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Côte d'Ivoire est Tachkent ?;Faux (c'est Yamoussoukro)
578;Musique;Œuvres, genres, artistes;vrai/faux;Vrai ou faux : Chanteuse de 'Rolling in the Deep' — Adele ?;Vrai
579;Géographie;Capitales;ouverte;Quelle est la capitale de Népal ?;Katmandou
580;Géographie;Capitales;ouverte;De quel pays Helsinki est-elle la capitale ?;Finlande
581;Transports & Explorations;Explorations & engins;vrai/faux;Vrai ou faux : Navire du premier tour du monde de Magellan — Victoria ?;Vrai
582;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Irlande est Luxembourg ?;Faux (c'est Dublin)
583;Histoire;Dates clés;ouverte;Quel événement historique s'est produit en 1994 ?;Fin officielle de l'apartheid en Afrique du Sud
584;Géographie;Capitales;vrai/faux;Vrai ou faux : Thimphou est la capitale de Bhoutan ?;Vrai
585;Géographie;Capitales;vrai/faux;Vrai ou faux : Ottawa est la capitale de Canada ?;Vrai
586;Géographie;Capitales;vrai/faux;Vrai ou faux : Maputo est la capitale de Mozambique ?;Vrai
587;Sport;Records & événements;vrai/faux;Vrai ou faux : Nombre de points marqués par un essai au rugby — 5 ?;Vrai
588;Géographie;Capitales;ouverte;Quelle est la capitale de Roumanie ?;Bucarest
589;Géographie;Capitales;ouverte;Quelle est la capitale de Zimbabwe ?;Harare
590;Géographie;Capitales;ouverte;Quelle est la capitale de Slovaquie ?;Bratislava
591;Gastronomie;Plats & produits;ouverte;Chef français triple étoilé célèbre pour 'cuisine minceur';Michel Guérard
592;Histoire;Dates clés;vrai/faux;Vrai ou faux : Référendum sur le Brexit a eu lieu en 2016 ?;Vrai
593;Géographie;Capitales;ouverte;Quelle est la capitale de Cuba ?;La Havane
594;Géographie;Capitales;vrai/faux;Vrai ou faux : Athènes est la capitale de Grèce ?;Vrai
595;Géographie;Capitales;ouverte;Quelle est la capitale de Autriche ?;Vienne
596;Géographie;Capitales;vrai/faux;Vrai ou faux : Mascate est la capitale de Oman ?;Vrai
597;Philosophie & Pensée;Concepts clés;ouverte;Quel concept/ouvrage est lié à Aristote ?;La métaphysique
598;Géographie;Capitales;ouverte;Quelle est la capitale de Laos ?;Vientiane
599;Musique;Œuvres, genres, artistes;vrai/faux;Vrai ou faux : DJ français de 'Titanium' — David Guetta ?;Vrai
600;Arts plastiques & Architecture;Œuvres emblématiques;ouverte;Qui a peint/sculpté « Guernica » ?;Pablo Picasso
601;Géographie;Capitales;ouverte;Quelle est la capitale de Singapour ?;Singapour
602;Littérature;Œuvres et auteurs;ouverte;Quelle œuvre majeure doit-on à J. R. R. Tolkien ?;Le Seigneur des Anneaux
603;Sport;Records & événements;vrai/faux;Vrai ou faux : Capitale des JO d'été 2012 — Londres ?;Vrai
604;Géographie;Capitales;vrai/faux;Vrai ou faux : Manille est la capitale de Philippines ?;Vrai
605;Société & Médias;Réseaux, slogans, démographie;vrai/faux;Vrai ou faux : Slogan publicitaire 'Just do it' appartient à — Nike ?;Vrai
606;Littérature;Œuvres et auteurs;vrai/faux;Vrai ou faux : « Les Origines du totalitarisme » est de Hannah Arendt ?;Vrai
607;Littérature;Œuvres et auteurs;vrai/faux;Vrai ou faux : « Les Cerfs-volants de Kaboul » est de Khaled Hosseini ?;Vrai
608;Sciences & Tech;Inventions;ouverte;Quelle invention/découverte est associée à Apple (Steve Jobs) ?;Smartphone (premier iPhone)
609;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Éthiopie est Riga ?;Faux (c'est Addis-Abeba)
610;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Lituanie est Abuja ?;Faux (c'est Vilnius)
611;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Espagne est Kingston ?;Faux (c'est Madrid)
612;Histoire;Dates clés;ouverte;En quelle année a eu lieu : Création de l'ONU ?;1945
613;Géographie;Capitales;vrai/faux;Vrai ou faux : Damas est la capitale de Syrie ?;Vrai
614;Cinéma & Séries;Films, prix, répliques;ouverte;Compositeur de la musique de 'Star Wars';John Williams
615;Géographie;Capitales;vrai/faux;Vrai ou faux : Lusaka est la capitale de Zambie ?;Vrai
616;Théâtre & Danse;Pièces, opéras, ballets;vrai/faux;Vrai ou faux : Danse traditionnelle argentine en couple — Tango ?;Vrai
617;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Singapour est Panama ?;Faux (c'est Singapour)
618;Histoire;Dates clés;ouverte;En quelle année a eu lieu : Chute de l'Empire romain d'Occident ?;476
619;Chronologies & Premières fois;Pionniers & records;ouverte;Première encyclopédie collaborative en ligne majeure;Wikipedia (2001)
620;Philosophie & Pensée;Concepts clés;ouverte;Quel concept/ouvrage est lié à Zénon de Citium ?;Le stoïcisme
621;Sciences & Tech;Inventions;vrai/faux;Vrai ou faux : Imprimante 3D est associé(e) à Chuck Hull ?;Vrai
622;Arts plastiques & Architecture;Œuvres emblématiques;ouverte;Quelle œuvre célèbre est associée à Pablo Picasso ?;Guernica
623;Sport;Records & événements;ouverte;Jeu d'échecs : nombre de cases du plateau;64
624;Musique;Œuvres, genres, artistes;vrai/faux;Vrai ou faux : Instrument à 88 touches — Piano ?;Vrai
625;Géographie;Capitales;vrai/faux;Vrai ou faux : Niamey est la capitale de Niger ?;Vrai
626;Philosophie & Pensée;Concepts clés;ouverte;Quel philosophe associe-t-on à : La banalité du mal ?;Hannah Arendt
627;Nature & Environnement;Faune, flore et climat;ouverte;Processus de disparition d'une espèce;Extinction
628;Géographie;Capitales;ouverte;Quelle est la capitale de Irlande ?;Dublin
629;Géographie;Capitales;ouverte;Quelle est la capitale de Somalie ?;Mogadiscio
630;Littérature;Œuvres et auteurs;vrai/faux;Vrai ou faux : « Kafka sur le rivage » est de Haruki Murakami ?;Vrai
631;Philosophie & Pensée;Concepts clés;ouverte;Quel concept/ouvrage est lié à Thomas Hobbes ?;Le Léviathan
632;Médecine & Corps humain;Anatomie/Soins;vrai/faux;Vrai ou faux : Nom de la bactérie de la tuberculose — Mycobacterium tuberculosis ?;Vrai
633;Géographie;Capitales;ouverte;Quelle est la capitale de Haïti ?;Port-au-Prince
634;Culture populaire;BD, mangas, jeux vidéo;ouverte;Nom du sabre laser bleu de Luke Skywalker;Anakin/Luke Lightsaber
635;Géographie;Capitales;ouverte;De quel pays Hanoï est-elle la capitale ?;Vietnam
636;Musique;Œuvres, genres, artistes;ouverte;Genre musical né à La Nouvelle-Orléans vers 1900;Jazz
637;Géographie;Capitales;vrai/faux;Vrai ou faux : Bamako est la capitale de Mali ?;Vrai
638;Sciences & Tech;Inventions;ouverte;Quelle invention/découverte est associée à Dov Moran (M-Systems) ?;Clé USB
639;Histoire;Dates clés;vrai/faux;Vrai ou faux : Premier pas sur la Lune a eu lieu en 1969 ?;Vrai
640;Transports & Explorations;Explorations & engins;ouverte;Aéronef géant allemand des années 1930;Zeppelin
641;Géographie;Capitales;ouverte;De quel pays Canberra est-elle la capitale ?;Australie
642;Médecine & Corps humain;Anatomie/Soins;ouverte;Pays d'apparition du virus Ebola;République démocratique du Congo
643;Philosophie & Pensée;Concepts clés;vrai/faux;Vrai ou faux : Michel Foucault est lié à Le biopouvoir ?;Vrai
644;Géographie;Capitales;ouverte;De quel pays Luanda est-elle la capitale ?;Angola
645;Littérature;Œuvres et auteurs;ouverte;Qui a écrit « Si par une nuit d'hiver un voyageur » ?;Italo Calvino
646;Sport;Records & événements;ouverte;Premier marathonien officiel moderne (1896);Spyridon Louis
647;Géographie;Capitales;ouverte;De quel pays Tbilissi est-elle la capitale ?;Géorgie
648;Littérature;Œuvres et auteurs;ouverte;Qui a écrit « 1984 » ?;George Orwell
649;Économie & Finance;Concepts & crises;ouverte;Concept économique : rapport entre prix et demande;Élasticité
650;Sciences & Tech;Inventions;vrai/faux;Vrai ou faux : Transistor est associé(e) à John Bardeen, William Shockley et Walter Brattain ?;Vrai
651;Politique & Institutions;Chefs d'État & organisations;ouverte;Vote d'une loi par le peuple : processus appelé;Référendum
652;Histoire;Dates clés;vrai/faux;Vrai ou faux : Attentats du 11 septembre a eu lieu en 2001 ?;Vrai
653;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Qatar est Gaborone ?;Faux (c'est Doha)
654;Littérature;Œuvres et auteurs;vrai/faux;Vrai ou faux : « Je sais pourquoi chante l'oiseau en cage » est de Maya Angelou ?;Vrai
655;Géographie;Capitales;ouverte;Quelle est la capitale de Kenya ?;Nairobi
656;Médecine & Corps humain;Anatomie/Soins;ouverte;Organe qui produit la bile;Le foie
657;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Grèce est Tachkent ?;Faux (c'est Athènes)
658;Langue française & Linguistique;Mots, figures et étymologie;vrai/faux;Vrai ou faux : Synonyme de 'pérégrination' — Voyage ?;Vrai
659;Géographie;Capitales;ouverte;Quelle est la capitale de Émirats arabes unis ?;Abou Dabi
660;Nature & Environnement;Faune, flore et climat;ouverte;Processus par lequel les plantes produisent du sucre;Photosynthèse
661;Culture populaire;BD, mangas, jeux vidéo;vrai/faux;Vrai ou faux : BD belge mettant en scène un reporter à houppe — Tintin ?;Vrai
662;Cinéma & Séries;Films, prix, répliques;ouverte;Série avec un professeur de chimie devenu baron de la drogue;Breaking Bad
663;Politique & Institutions;Chefs d'État & organisations;ouverte;Président américain assassiné à Dallas en 1963;John F. Kennedy
664;Politique & Institutions;Chefs d'État & organisations;ouverte;Régime politique où le pouvoir est détenu par le peuple;Démocratie
665;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Botswana est Rabat ?;Faux (c'est Gaborone)
666;Arts plastiques & Architecture;Œuvres emblématiques;ouverte;Qui a peint/sculpté « American Gothic » ?;Grant Wood
667;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Maroc est Rome ?;Faux (c'est Rabat)
668;Géographie;Capitales;vrai/faux;Vrai ou faux : Tripoli est la capitale de Libye ?;Vrai
669;Géographie;Capitales;ouverte;De quel pays Nairobi est-elle la capitale ?;Kenya
670;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Corée du Sud est Saint-Domingue ?;Faux (c'est Séoul)
671;Cinéma & Séries;Films, prix, répliques;vrai/faux;Vrai ou faux : Réalisateur de 'Parasite' — Bong Joon-ho ?;Vrai
672;Arts plastiques & Architecture;Œuvres emblématiques;ouverte;Quelle œuvre célèbre est associée à Piet Mondrian ?;Composition avec rouge, jaune et bleu
673;Histoire;Dates clés;ouverte;Quel événement historique s'est produit en 2002 ?;Introduction de l'euro fiduciaire
674;Géographie;Capitales;ouverte;De quel pays Nicosie est-elle la capitale ?;Chypre
675;Littérature;Œuvres et auteurs;ouverte;Quelle œuvre majeure doit-on à Italo Calvino ?;Si par une nuit d'hiver un voyageur
676;Transports & Explorations;Explorations & engins;ouverte;Nom du train à grande vitesse français;TGV
677;Géographie;Capitales;ouverte;Quelle est la capitale de Maurice ?;Port-Louis
678;Philosophie & Pensée;Concepts clés;ouverte;Quel concept/ouvrage est lié à René Descartes ?;Le cogito
679;Littérature;Œuvres et auteurs;vrai/faux;Vrai ou faux : « Si par une nuit d'hiver un voyageur » est de Italo Calvino ?;Vrai
680;Médecine & Corps humain;Anatomie/Soins;ouverte;Nom de l'os du bras entre épaule et coude;L'humérus
681;Géographie;Capitales;ouverte;De quel pays Addis-Abeba est-elle la capitale ?;Éthiopie
682;Littérature;Œuvres et auteurs;ouverte;Qui a écrit « La Route » ?;Cormac McCarthy
683;Nature & Environnement;Faune, flore et climat;ouverte;Gaz à effet de serre le plus abondant;CO2
684;Géographie;Capitales;ouverte;Quelle est la capitale de Bahreïn ?;Manama
685;Culture populaire;BD, mangas, jeux vidéo;ouverte;Super-héros possédant un marteau nommé Mjölnir;Thor
686;Géographie;Capitales;vrai/faux;Vrai ou faux : La Valette est la capitale de Malte ?;Vrai
687;Littérature;Œuvres et auteurs;vrai/faux;Vrai ou faux : « La Route » est de Cormac McCarthy ?;Vrai
688;Histoire;Dates clés;ouverte;Quel événement historique s'est produit en 1453 ?;Chute de Constantinople
689;Histoire;Dates clés;vrai/faux;Vrai ou faux : Commune de Paris a eu lieu en 1871 ?;Vrai
690;Philosophie & Pensée;Concepts clés;vrai/faux;Vrai ou faux : Simone de Beauvoir est lié à Le féminisme existentialiste ?;Vrai
691;Gastronomie;Plats & produits;ouverte;Spiritueux japonais à base de riz;Saké
692;Géographie;Capitales;ouverte;Quelle est la capitale de Égypte ?;Le Caire
693;Technologies du quotidien;Objets & internet;ouverte;Réseau d'objets connectés en anglais;Internet of Things
694;Géographie;Capitales;vrai/faux;Vrai ou faux : Dacca est la capitale de Bangladesh ?;Vrai
695;Géographie;Capitales;vrai/faux;Vrai ou faux : Tirana est la capitale de Albanie ?;Vrai
696;Médecine & Corps humain;Anatomie/Soins;ouverte;Date du premier cœur artificiel implanté avec succès;1982
697;Médecine & Corps humain;Anatomie/Soins;vrai/faux;Vrai ou faux : Nom de l'os du bras entre épaule et coude — L'humérus ?;Vrai
698;Philosophie & Pensée;Concepts clés;vrai/faux;Vrai ou faux : Pierre Bourdieu est lié à L'habitus ?;Vrai
699;Littérature;Œuvres et auteurs;ouverte;Qui a écrit « Je sais pourquoi chante l'oiseau en cage » ?;Maya Angelou
700;Littérature;Œuvres et auteurs;vrai/faux;Vrai ou faux : « Le Comte de Monte-Cristo » est de Alexandre Dumas ?;Vrai
701;Transports & Explorations;Explorations & engins;ouverte;Premier homme à traverser l'Atlantique en avion en solitaire;Charles Lindbergh
702;Langue française & Linguistique;Mots, figures et étymologie;ouverte;Figure de style consistant à répéter un mot en tête de phrase;Anaphore
703;Philosophie & Pensée;Concepts clés;vrai/faux;Vrai ou faux : Peter Singer est lié à L'altruisme efficace ?;Vrai
704;Géographie;Capitales;vrai/faux;Vrai ou faux : Abuja est la capitale de Nigeria ?;Vrai
705;Médecine & Corps humain;Anatomie/Soins;ouverte;Hormone régulant la glycémie;L'insuline
706;Géographie;Capitales;ouverte;Quelle est la capitale de Équateur ?;Quito
707;Philosophie & Pensée;Concepts clés;ouverte;Quel philosophe associe-t-on à : L'ataraxie ?;Epicure
708;Sciences & Tech;Inventions;ouverte;Qui a inventé/découvert : Four à micro-ondes ?;Percy Spencer
709;Sciences & Tech;Inventions;ouverte;Qui a inventé/découvert : Laser ?;Theodore Maiman
710;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Oman est Caracas ?;Faux (c'est Mascate)
711;Histoire;Dates clés;ouverte;En quelle année a eu lieu : Traité de Rome (CEE) ?;1957
712;Géographie;Capitales;ouverte;De quel pays Paris est-elle la capitale ?;France
713;Géographie;Capitales;vrai/faux;Vrai ou faux : Riyad est la capitale de Arabie saoudite ?;Vrai
714;Géographie;Capitales;ouverte;De quel pays Kinshasa est-elle la capitale ?;République démocratique du Congo
715;Technologies du quotidien;Objets & internet;ouverte;Application qui a popularisé les vidéos courtes verticales;TikTok
716;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Vietnam est Tokyo ?;Faux (c'est Hanoï)
717;Médecine & Corps humain;Anatomie/Soins;ouverte;Maladie causée par le VIH;Le SIDA
718;Langue française & Linguistique;Mots, figures et étymologie;ouverte;Différence entre homonyme et homophone;Homophone: son identique, Homonyme: sens différents même forme
719;Technologies du quotidien;Objets & internet;vrai/faux;Vrai ou faux : Protocole qui sécurise les sites web (https) — TLS ?;Vrai
720;Géographie;Capitales;ouverte;De quel pays Gaborone est-elle la capitale ?;Botswana
721;Géographie;Capitales;ouverte;De quel pays Vienne est-elle la capitale ?;Autriche
722;Arts plastiques & Architecture;Œuvres emblématiques;ouverte;Quelle œuvre célèbre est associée à Jackson Pollock ?;Number 1A
723;Littérature;Œuvres et auteurs;ouverte;Qui a écrit « American Gods » ?;Neil Gaiman
724;Cinéma & Séries;Films, prix, répliques;vrai/faux;Vrai ou faux : Personnage qui dit 'Hasta la vista, baby' — Terminator ?;Vrai
725;Arts plastiques & Architecture;Œuvres emblématiques;ouverte;Qui a peint/sculpté « Les Ménines » ?;Diego Velázquez
726;Politique & Institutions;Chefs d'État & organisations;ouverte;Chef d'État sud-africain libéré en 1990 et élu en 1994;Nelson Mandela
727;Littérature;Œuvres et auteurs;ouverte;Quelle œuvre majeure doit-on à Victor Hugo ?;Les Misérables
728;Géographie;Capitales;ouverte;De quel pays Mogadiscio est-elle la capitale ?;Somalie
729;Transports & Explorations;Explorations & engins;vrai/faux;Vrai ou faux : Premier satellite artificiel — Spoutnik 1 ?;Vrai
730;Langue française & Linguistique;Mots, figures et étymologie;vrai/faux;Vrai ou faux : Mot français le plus long (souvent cité) — Anticonstitutionnellement ?;Vrai
731;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Bulgarie est Kigali ?;Faux (c'est Sofia)
732;Gastronomie;Plats & produits;ouverte;Plat national espagnol à base de riz;Paella
733;Géographie;Capitales;ouverte;Quelle est la capitale de Vietnam ?;Hanoï
734;Géographie;Capitales;ouverte;De quel pays Jakarta est-elle la capitale ?;Indonésie
735;Philosophie & Pensée;Concepts clés;ouverte;Quel concept/ouvrage est lié à Platon ?;La théorie des Idées
736;Langue française & Linguistique;Mots, figures et étymologie;ouverte;Anglicisme pour 'brunch' signifie;Petit-déjeuner + déjeuner
737;Littérature;Œuvres et auteurs;vrai/faux;Vrai ou faux : « Don Quichotte » est de Miguel de Cervantès ?;Vrai
738;Droit & Justice;Institutions & textes;ouverte;Âge de la majorité civile en France;18 ans
739;Droit & Justice;Institutions & textes;ouverte;Droit accordé aux femmes de voter en France : année;1944
740;Histoire;Dates clés;ouverte;Quel événement historique s'est produit en 1917 ?;Révolution russe
741;Philosophie & Pensée;Concepts clés;ouverte;Quel concept/ouvrage est lié à Karl Marx ?;Le matérialisme historique
742;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Arménie est Abuja ?;Faux (c'est Erevan)
743;Géographie;Capitales;ouverte;De quel pays Santiago est-elle la capitale ?;Chili
744;Géographie;Capitales;ouverte;Quelle est la capitale de Inde ?;New Delhi
745;Géographie;Capitales;ouverte;Quelle est la capitale de Mozambique ?;Maputo
746;Histoire;Dates clés;ouverte;En quelle année a eu lieu : Déclaration universelle des droits de l'homme ?;1948
747;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Iran est Djibouti ?;Faux (c'est Téhéran)
748;Philosophie & Pensée;Concepts clés;ouverte;Quel philosophe associe-t-on à : La justice comme équité ?;John Rawls
749;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Brésil est Kiev ?;Faux (c'est Brasília)
750;Sciences & Tech;Inventions;ouverte;Qui a inventé/découvert : Pénicilline ?;Alexander Fleming
751;Littérature;Œuvres et auteurs;ouverte;Qui a écrit « Le Meilleur des mondes » ?;Aldous Huxley
752;Nature & Environnement;Faune, flore et climat;ouverte;Parc national emblématique américain créé en 1872;Yellowstone
753;Sciences & Tech;Inventions;ouverte;Quelle invention/découverte est associée à Jennifer Doudna et Emmanuelle Charpentier ?;CRISPR-Cas9
754;Géographie;Capitales;ouverte;De quel pays Bruxelles est-elle la capitale ?;Belgique
755;Géographie;Capitales;ouverte;De quel pays Bakou est-elle la capitale ?;Azerbaïdjan
756;Géographie;Capitales;ouverte;De quel pays Douchanbé est-elle la capitale ?;Tadjikistan
757;Histoire;Dates clés;vrai/faux;Vrai ou faux : Fin officielle de l'apartheid en Afrique du Sud a eu lieu en 1994 ?;Vrai
758;Théâtre & Danse;Pièces, opéras, ballets;ouverte;Opéra 'Carmen' compositeur;Georges Bizet
759;Géographie;Capitales;ouverte;De quel pays Bratislava est-elle la capitale ?;Slovaquie
760;Géographie;Capitales;vrai/faux;Vrai ou faux : Amsterdam est la capitale de Pays-Bas ?;Vrai
761;Géographie;Capitales;ouverte;Quelle est la capitale de Bahamas ?;Nassau
762;Histoire;Dates clés;vrai/faux;Vrai ou faux : Magna Carta signée en Angleterre a eu lieu en 1215 ?;Vrai
