id;theme;soustheme;type;question;reponse
428;Histoire;Dates clés;vrai/faux;Vrai ou faux : Traité de Rome (CEE) a eu lieu en 1957 ?;Vrai
429;Géographie;Capitales;ouverte;De quel pays Oslo est-elle la capitale ?;Norvège
430;Littérature;Œuvres et auteurs;vrai/faux;Vrai ou faux : « Beloved » est de Toni Morrison ?;Vrai
431;Géographie;Capitales;ouverte;Quelle est la capitale de Jamaïque ?;Kingston
432;Sport;Records & événements;ouverte;Capitaine de l'équipe de France championne du monde 2018;Hugo Lloris
433;Société & Médias;Réseaux, slogans, démographie;ouverte;Première femme Première ministre au Royaume-Uni;Margaret Thatcher
434;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Belgique est Vilnius ?;Faux (c'est Bruxelles)
435;Histoire;Dates clés;ouverte;Quel événement historique s'est produit en 1929 ?;Krach de Wall Street
436;Sciences & Tech;Inventions;ouverte;Quelle invention/découverte est associée à Intel (Ted Hoff) ?;Microprocesseur
437;Géographie;Capitales;ouverte;De quel pays Asuncion est-elle la capitale ?;Paraguay
438;Géographie;Capitales;ouverte;Quelle est la capitale de Turkménistan ?;Achgabat
439;Économie & Finance;Concepts & crises;vrai/faux;Vrai ou faux : Concept économique : rapport entre prix et demande — Élasticité ?;Vrai
440;Géographie;Capitales;vrai/faux;Vrai ou faux : Wellington est la capitale de Nouvelle-Zélande ?;Vrai
441;Histoire;Dates clés;ouverte;Quel événement historique s'est produit en 2001 ?;Attentats du 11 septembre
442;Société & Médias;Réseaux, slogans, démographie;ouverte;Slogan publicitaire 'Just do it' appartient à;Nike
443;Histoire;Dates clés;ouverte;Quel événement historique s'est produit en 1492 ?;Découverte de l'Amérique par Christophe Colomb
444;Géographie;Capitales;ouverte;Quelle est la capitale de Suisse ?;Berne
445;Littérature;Œuvres et auteurs;ouverte;Qui a écrit « L'Étranger » ?;Albert Camus
446;Géographie;Capitales;ouverte;De quel pays Zagreb est-elle la capitale ?;Croatie
447;Littérature;Œuvres et auteurs;vrai/faux;Vrai ou faux : « Rue des Boutiques Obscures » est de Patrick Modiano ?;Vrai
448;Sciences & Tech;Inventions;vrai/faux;Vrai ou faux : Vaccin contre la rage est associé(e) à Louis Pasteur ?;Vrai
449;Chronologies & Premières fois;Pionniers & records;ouverte;Premier homme à gravir l'Everest;Edmund Hillary
450;Gastronomie;Plats & produits;vrai/faux;Vrai ou faux : Pâte feuilletée garnie de pommes caramélisées — Tarte Tatin ?;Vrai
451;Culture populaire;BD, mangas, jeux vidéo;vrai/faux;Vrai ou faux : Jeu vidéo le plus vendu de tous les temps (2024) — Minecraft ?;Vrai
452;Géographie;Capitales;ouverte;De quel pays La Havane est-elle la capitale ?;Cuba
453;Gastronomie;Plats & produits;vrai/faux;Vrai ou faux : Chef français triple étoilé célèbre pour 'cuisine minceur' — Michel Guérard ?;Vrai
454;Géographie;Capitales;vrai/faux;Vrai ou faux : Victoria est la capitale de Seychelles ?;Vrai
455;Chronologies & Premières fois;Pionniers & records;vrai/faux;Vrai ou faux : Premier homme à gravir l'Everest — Edmund Hillary ?;Vrai
456;Géographie;Capitales;vrai/faux;Vrai ou faux : Lima est la capitale de Pérou ?;Vrai
457;Musique;Œuvres, genres, artistes;ouverte;Groupe de 'Smells Like Teen Spirit';Nirvana
458;Littérature;Œuvres et auteurs;ouverte;Qui a écrit « La Disparition » ?;Georges Perec
459;Histoire;Dates clés;vrai/faux;Vrai ou faux : Début de la Seconde Guerre mondiale a eu lieu en 1939 ?;Vrai
460;Cinéma & Séries;Films, prix, répliques;vrai/faux;Vrai ou faux : Oscar posthume pour le Joker (2008) — Heath Ledger ?;Vrai
461;Géographie;Capitales;ouverte;De quel pays Doha est-elle la capitale ?;Qatar
462;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Namibie est Niamey ?;Faux (c'est Windhoek)
463;Gastronomie;Plats & produits;vrai/faux;Vrai ou faux : Spiritueux japonais à base de riz — Saké ?;Vrai
464;Philosophie & Pensée;Concepts clés;ouverte;Quel concept/ouvrage est lié à Immanuel Kant ?;L'impératif catégorique
465;Culture populaire;BD, mangas, jeux vidéo;ouverte;Compilation d'images humoristiques virales en ligne;Meme
466;Littérature;Œuvres et auteurs;vrai/faux;Vrai ou faux : « Hamlet » est de William Shakespeare ?;Vrai
467;Sciences & Tech;Inventions;ouverte;Qui a inventé/découvert : Électricité alternée (AC) ?;Nikola Tesla
468;Philosophie & Pensée;Concepts clés;ouverte;Quel philosophe associe-t-on à : Le scepticisme empiriste ?;David Hume
469;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Albanie est Bratislava ?;Faux (c'est Tirana)
470;Droit & Justice;Institutions & textes;vrai/faux;Vrai ou faux : Principe juridique : 'nul n'est censé ignorer la loi' est un — Adage ?;Vrai
471;Société & Médias;Réseaux, slogans, démographie;vrai/faux;Vrai ou faux : Première femme Première ministre au Royaume-Uni — Margaret Thatcher ?;Vrai
472;Géographie;Capitales;ouverte;Quelle est la capitale de Gabon ?;Libreville
473;Culture populaire;BD, mangas, jeux vidéo;ouverte;Série manga de Eiichiro Oda;One Piece
474;Littérature;Œuvres et auteurs;ouverte;Qui a écrit « Crime et Châtiment » ?;Fiodor Dostoïevski
475;Transports & Explorations;Explorations & engins;ouverte;Explorateur du pôle Sud en 1911;Roald Amundsen
476;Sciences & Tech;Inventions;ouverte;Quelle invention/découverte est associée à Johannes Gutenberg ?;Imprimerie à caractères mobiles
477;Sciences & Tech;Inventions;ouverte;Quelle invention/découverte est associée à Étienne Lenoir ?;Moteur à explosion
478;Géographie;Capitales;ouverte;De quel pays Beyrouth est-elle la capitale ?;Liban
479;Géographie;Capitales;ouverte;De quel pays Manille est-elle la capitale ?;Philippines
480;Littérature;Œuvres et auteurs;ouverte;Qui a écrit « Cent ans de solitude » ?;Gabriel García Márquez
481;Sciences & Tech;Inventions;ouverte;Quelle invention/découverte est associée à Roy Plunkett ?;Teflon
482;Géographie;Capitales;ouverte;Quelle est la capitale de Burundi ?;Gitega
483;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Croatie est Islamabad ?;Faux (c'est Zagreb)
484;Histoire;Dates clés;vrai/faux;Vrai ou faux : Déclaration d'indépendance des États-Unis a eu lieu en 1776 ?;Vrai
485;Littérature;Œuvres et auteurs;ouverte;Quelle œuvre majeure doit-on à Gabriel García Márquez ?;Cent ans de solitude
486;Géographie;Capitales;vrai/faux;Vrai ou faux : Vienne est la capitale de Autriche ?;Vrai
487;Histoire;Dates clés;ouverte;Quel événement historique s'est produit en 1517 ?;Affichage des 95 thèses de Luther
488;Géographie;Capitales;vrai/faux;Vrai ou faux : Helsinki est la capitale de Finlande ?;Vrai
489;Politique & Institutions;Chefs d'État & organisations;vrai/faux;Vrai ou faux : Institution parlementaire européenne siégeant à Strasbourg — Parlement européen ?;Vrai
490;Sport;Records & événements;vrai/faux;Vrai ou faux : Inventeur du basket-ball — James Naismith ?;Vrai
491;Gastronomie;Plats & produits;ouverte;Vin pétillant de la région Champagne;Champagne
492;Géographie;Capitales;vrai/faux;Vrai ou faux : Yamoussoukro est la capitale de Côte d'Ivoire ?;Vrai
493;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Moldavie est Wellington ?;Faux (c'est Chisinau)
494;Littérature;Œuvres et auteurs;ouverte;Quelle œuvre majeure doit-on à Léon Tolstoï ?;Guerre et Paix
495;Cinéma & Séries;Films, prix, répliques;ouverte;Compositeur de 'Le Bon, la Brute et le Truand';Ennio Morricone
496;Philosophie & Pensée;Concepts clés;ouverte;Quel concept/ouvrage est lié à Simone de Beauvoir ?;Le féminisme existentialiste
497;Géographie;Capitales;vrai/faux;Vrai ou faux : Mogadiscio est la capitale de Somalie ?;Vrai
498;Littérature;Œuvres et auteurs;ouverte;Quelle œuvre majeure doit-on à René Goscinny ?;Astérix le Gaulois
499;Sciences & Tech;Inventions;vrai/faux;Vrai ou faux : Pacemaker implantable est associé(e) à Paul Zoll ?;Vrai
500;Cinéma & Séries;Films, prix, répliques;vrai/faux;Vrai ou faux : Film ayant obtenu l'Oscar du meilleur film en 1994 — Forrest Gump ?;Vrai
501;Géographie;Capitales;ouverte;De quel pays Djibouti est-elle la capitale ?;Djibouti
502;Histoire;Dates clés;vrai/faux;Vrai ou faux : Krach de Wall Street a eu lieu en 1929 ?;Vrai
503;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Liban est Thimphou ?;Faux (c'est Beyrouth)
504;Géographie;Capitales;ouverte;De quel pays Riyad est-elle la capitale ?;Arabie saoudite
505;Langue française & Linguistique;Mots, figures et étymologie;ouverte;Langue la plus parlée au monde (locuteurs natifs);Mandarin
506;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Chili est Thimphou ?;Faux (c'est Santiago)
507;Philosophie & Pensée;Concepts clés;ouverte;Quel philosophe associe-t-on à : L'agir communicationnel ?;Jürgen Habermas
508;Politique & Institutions;Chefs d'État & organisations;vrai/faux;Vrai ou faux : Premier président de la Ve République française — Charles de Gaulle ?;Vrai
509;Philosophie & Pensée;Concepts clés;ouverte;Quel philosophe associe-t-on à : Le féminisme existentialiste ?;Simone de Beauvoir
510;Géographie;Capitales;vrai/faux;Vrai ou faux : Yaoundé est la capitale de Cameroun ?;Vrai
511;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Islande est Amsterdam ?;Faux (c'est Reykjavik)
512;Géographie;Capitales;ouverte;De quel pays La Paz est-elle la capitale ?;Bolivie
513;Arts plastiques & Architecture;Œuvres emblématiques;ouverte;Quelle œuvre célèbre est associée à Auguste Rodin ?;Le Penseur
514;Cinéma & Séries;Films, prix, répliques;ouverte;Acteur principal de 'Forrest Gump';Tom Hanks
515;Géographie;Capitales;vrai/faux;Vrai ou faux : Kuala Lumpur est la capitale de Malaisie ?;Vrai
516;Arts plastiques & Architecture;Œuvres emblématiques;ouverte;Quelle œuvre célèbre est associée à Johannes Vermeer ?;La Jeune Fille à la perle
517;Sciences & Tech;Inventions;ouverte;Qui a inventé/découvert : Téléphone ?;Alexander Graham Bell
518;Chronologies & Premières fois;Pionniers & records;vrai/faux;Vrai ou faux : Première ville à atteindre 1 million d'habitants — Rome antique ?;Vrai
519;Géographie;Capitales;ouverte;De quel pays Accra est-elle la capitale ?;Ghana
520;Géographie;Capitales;vrai/faux;Vrai ou faux : Berne est la capitale de Suisse ?;Vrai
521;Nature & Environnement;Faune, flore et climat;vrai/faux;Vrai ou faux : Biome caractérisé par un sol gelé en permanence — Pergélisol (permafrost) ?;Vrai
522;Musique;Œuvres, genres, artistes;vrai/faux;Vrai ou faux : Guitare à double manche : guitariste de Led Zeppelin — Jimmy Page ?;Vrai
523;Littérature;Œuvres et auteurs;vrai/faux;Vrai ou faux : « Harry Potter à l'école des sorciers » est de J. K. Rowling ?;Vrai
524;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Hongrie est Berlin ?;Faux (c'est Budapest)
525;Sciences & Tech;Inventions;vrai/faux;Vrai ou faux : Électricité alternée (AC) est associé(e) à Nikola Tesla ?;Vrai
526;Arts plastiques & Architecture;Œuvres emblématiques;ouverte;Quelle œuvre célèbre est associée à Diego Velázquez ?;Les Ménines
527;Géographie;Capitales;vrai/faux;Vrai ou faux : Quito est la capitale de Équateur ?;Vrai
528;Géographie;Capitales;ouverte;Quelle est la capitale de Nicaragua ?;Managua
529;Arts plastiques & Architecture;Œuvres emblématiques;vrai/faux;Vrai ou faux : « La Danse » est de Henri Matisse ?;Vrai
530;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Guatemala est Islamabad ?;Faux (c'est Guatemala)
531;Géographie;Capitales;ouverte;De quel pays Dacca est-elle la capitale ?;Bangladesh
532;Musique;Œuvres, genres, artistes;ouverte;DJ français de 'Titanium';David Guetta
533;Cinéma & Séries;Films, prix, répliques;ouverte;Acteur principal de 'Le Fabuleux Destin d'Amélie Poulain';Audrey Tautou
534;Géographie;Capitales;ouverte;Quelle est la capitale de Italie ?;Rome
535;Géographie;Capitales;ouverte;De quel pays Pyongyang est-elle la capitale ?;Corée du Nord
536;Géographie;Capitales;ouverte;De quel pays Libreville est-elle la capitale ?;Gabon
537;Géographie;Capitales;vrai/faux;Vrai ou faux : Bruxelles est la capitale de Belgique ?;Vrai
538;Théâtre & Danse;Pièces, opéras, ballets;ouverte;Comédie-ballet de Molière et Lully;Le Bourgeois gentilhomme
539;Médecine & Corps humain;Anatomie/Soins;ouverte;Organe affecté par la cirrhose;Le foie
540;Nature & Environnement;Faune, flore et climat;vrai/faux;Vrai ou faux : Plus long fleuve du monde — Nil ?;Vrai
541;Politique & Institutions;Chefs d'État & organisations;vrai/faux;Vrai ou faux : Président américain assassiné à Dallas en 1963 — John F. Kennedy ?;Vrai
542;Géographie;Capitales;vrai/faux;Vrai ou faux : La Havane est la capitale de Cuba ?;Vrai
543;Géographie;Capitales;ouverte;De quel pays Belgrade est-elle la capitale ?;Serbie
544;Cinéma & Séries;Films, prix, répliques;ouverte;Réalisateur du 'Parrain';Francis Ford Coppola
545;Géographie;Capitales;ouverte;De quel pays Ouagadougou est-elle la capitale ?;Burkina Faso
546;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Venezuela est Athènes ?;Faux (c'est Caracas)
547;Arts plastiques & Architecture;Œuvres emblématiques;ouverte;Qui a peint/sculpté « Impression, soleil levant » ?;Claude Monet
548;Transports & Explorations;Explorations & engins;vrai/faux;Vrai ou faux : Nom du rover martien arrivé en 2021 — Perseverance ?;Vrai
549;Médecine & Corps humain;Anatomie/Soins;vrai/faux;Vrai ou faux : Hormone régulant la glycémie — L'insuline ?;Vrai
550;Géographie;Capitales;vrai/faux;Vrai ou faux : Kampala est la capitale de Ouganda ?;Vrai
551;Philosophie & Pensée;Concepts clés;vrai/faux;Vrai ou faux : Friedrich Nietzsche est lié à Le surhomme ?;Vrai
552;Histoire;Dates clés;ouverte;En quelle année a eu lieu : Introduction de l'euro fiduciaire ?;2002
553;Histoire;Dates clés;vrai/faux;Vrai ou faux : Traité de Maastricht a eu lieu en 1992 ?;Vrai
554;Gastronomie;Plats & produits;ouverte;Invention du sandwich attribuée au;Comte de Sandwich
555;Technologies du quotidien;Objets & internet;vrai/faux;Vrai ou faux : Technique de chiffrement qui utilise une paire de clés — Cryptographie asymétrique ?;Vrai
556;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Tadjikistan est Lisbonne ?;Faux (c'est Douchanbé)
557;Philosophie & Pensée;Concepts clés;vrai/faux;Vrai ou faux : Karl Marx est lié à Le matérialisme historique ?;Vrai
558;Géographie;Capitales;ouverte;De quel pays Rome est-elle la capitale ?;Italie
559;Sciences & Tech;Inventions;ouverte;Qui a inventé/découvert : GPS ?;Département de la Défense des États-Unis
560;Géographie;Capitales;vrai/faux;Vrai ou faux : Antananarivo est la capitale de Madagascar ?;Vrai
561;Sport;Records & événements;ouverte;Art martial utilisant projections et immobilisations;Judo
562;Littérature;Œuvres et auteurs;vrai/faux;Vrai ou faux : « La Servante écarlate » est de Margaret Atwood ?;Vrai
563;Médecine & Corps humain;Anatomie/Soins;vrai/faux;Vrai ou faux : Gaz utilisé pour l'anesthésie au XIXe siècle (gaz hilarant) — Protoxyde d'azote ?;Vrai
564;Géographie;Capitales;vrai/faux;Vrai ou faux : Vilnius est la capitale de Lituanie ?;Vrai
565;Chronologies & Premières fois;Pionniers & records;vrai/faux;Vrai ou faux : Premier message envoyé sur ARPANET — LOGIN ?;Vrai
566;Arts plastiques & Architecture;Œuvres emblématiques;vrai/faux;Vrai ou faux : « La Classe de danse » est de Edgar Degas ?;Vrai
567;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Niger est Pékin ?;Faux (c'est Niamey)
568;Géographie;Capitales;ouverte;Quelle est la capitale de Ukraine ?;Kiev
569;Philosophie & Pensée;Concepts clés;vrai/faux;Vrai ou faux : David Hume est lié à Le scepticisme empiriste ?;Vrai
570;Géographie;Capitales;vrai/faux;Vrai ou faux : Mexico est la capitale de Mexique ?;Vrai
571;Géographie;Capitales;ouverte;Quelle est la capitale de Chili ?;Santiago
572;Littérature;Œuvres et auteurs;ouverte;Qui a écrit « Huis clos » ?;Jean-Paul Sartre
573;Arts plastiques & Architecture;Œuvres emblématiques;vrai/faux;Vrai ou faux : « Marilyn Diptych » est de Andy Warhol ?;Vrai
574;Géographie;Capitales;vrai/faux;Vrai ou faux : Saint-Domingue est la capitale de République dominicaine ?;Vrai
575;Langue française & Linguistique;Mots, figures et étymologie;ouverte;Origine latine du mot 'agriculture';ager (champ) + cultura (culture)
576;Géographie;Capitales;ouverte;De quel pays Gitega est-elle la capitale ?;Burundi
577;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Côte d'Ivoire est Tachkent ?;Faux (c'est Yamoussoukro)
578;Musique;Œuvres, genres, artistes;vrai/faux;Vrai ou faux : Chanteuse de 'Rolling in the Deep' — Adele ?;Vrai
579;Géographie;Capitales;ouverte;Quelle est la capitale de Népal ?;Katmandou
580;Géographie;Capitales;ouverte;De quel pays Helsinki est-elle la capitale ?;Finlande
581;Transports & Explorations;Explorations & engins;vrai/faux;Vrai ou faux : Navire du premier tour du monde de Magellan — Victoria ?;Vrai
582;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Irlande est Luxembourg ?;Faux (c'est Dublin)
583;Histoire;Dates clés;ouverte;Quel événement historique s'est produit en 1994 ?;Fin officielle de l'apartheid en Afrique du Sud
584;Géographie;Capitales;vrai/faux;Vrai ou faux : Thimphou est la capitale de Bhoutan ?;Vrai
585;Géographie;Capitales;vrai/faux;Vrai ou faux : Ottawa est la capitale de Canada ?;Vrai
586;Géographie;Capitales;vrai/faux;Vrai ou faux : Maputo est la capitale de Mozambique ?;Vrai
587;Sport;Records & événements;vrai/faux;Vrai ou faux : Nombre de points marqués par un essai au rugby — 5 ?;Vrai
588;Géographie;Capitales;ouverte;Quelle est la capitale de Roumanie ?;Bucarest
589;Géographie;Capitales;ouverte;Quelle est la capitale de Zimbabwe ?;Harare
590;Géographie;Capitales;ouverte;Quelle est la capitale de Slovaquie ?;Bratislava
591;Gastronomie;Plats & produits;ouverte;Chef français triple étoilé célèbre pour 'cuisine minceur';Michel Guérard
592;Histoire;Dates clés;vrai/faux;Vrai ou faux : Référendum sur le Brexit a eu lieu en 2016 ?;Vrai
593;Géographie;Capitales;ouverte;Quelle est la capitale de Cuba ?;La Havane
594;Géographie;Capitales;vrai/faux;Vrai ou faux : Athènes est la capitale de Grèce ?;Vrai
595;Géographie;Capitales;ouverte;Quelle est la capitale de Autriche ?;Vienne
596;Géographie;Capitales;vrai/faux;Vrai ou faux : Mascate est la capitale de Oman ?;Vrai
597;Philosophie & Pensée;Concepts clés;ouverte;Quel concept/ouvrage est lié à Aristote ?;La métaphysique
598;Géographie;Capitales;ouverte;Quelle est la capitale de Laos ?;Vientiane
599;Musique;Œuvres, genres, artistes;vrai/faux;Vrai ou faux : DJ français de 'Titanium' — David Guetta ?;Vrai
600;Arts plastiques & Architecture;Œuvres emblématiques;ouverte;Qui a peint/sculpté « Guernica » ?;Pablo Picasso
601;Géographie;Capitales;ouverte;Quelle est la capitale de Singapour ?;Singapour
602;Littérature;Œuvres et auteurs;ouverte;Quelle œuvre majeure doit-on à J. R. R. Tolkien ?;Le Seigneur des Anneaux
603;Sport;Records & événements;vrai/faux;Vrai ou faux : Capitale des JO d'été 2012 — Londres ?;Vrai
604;Géographie;Capitales;vrai/faux;Vrai ou faux : Manille est la capitale de Philippines ?;Vrai
605;Société & Médias;Réseaux, slogans, démographie;vrai/faux;Vrai ou faux : Slogan publicitaire 'Just do it' appartient à — Nike ?;Vrai
606;Littérature;Œuvres et auteurs;vrai/faux;Vrai ou faux : « Les Origines du totalitarisme » est de Hannah Arendt ?;Vrai
607;Littérature;Œuvres et auteurs;vrai/faux;Vrai ou faux : « Les Cerfs-volants de Kaboul » est de Khaled Hosseini ?;Vrai
608;Sciences & Tech;Inventions;ouverte;Quelle invention/découverte est associée à Apple (Steve Jobs) ?;Smartphone (premier iPhone)
609;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Éthiopie est Riga ?;Faux (c'est Addis-Abeba)
610;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Lituanie est Abuja ?;Faux (c'est Vilnius)
611;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Espagne est Kingston ?;Faux (c'est Madrid)
612;Histoire;Dates clés;ouverte;En quelle année a eu lieu : Création de l'ONU ?;1945
613;Géographie;Capitales;vrai/faux;Vrai ou faux : Damas est la capitale de Syrie ?;Vrai
614;Cinéma & Séries;Films, prix, répliques;ouverte;Compositeur de la musique de 'Star Wars';John Williams
615;Géographie;Capitales;vrai/faux;Vrai ou faux : Lusaka est la capitale de Zambie ?;Vrai
616;Théâtre & Danse;Pièces, opéras, ballets;vrai/faux;Vrai ou faux : Danse traditionnelle argentine en couple — Tango ?;Vrai
617;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Singapour est Panama ?;Faux (c'est Singapour)
618;Histoire;Dates clés;ouverte;En quelle année a eu lieu : Chute de l'Empire romain d'Occident ?;476
619;Chronologies & Premières fois;Pionniers & records;ouverte;Première encyclopédie collaborative en ligne majeure;Wikipedia (2001)
620;Philosophie & Pensée;Concepts clés;ouverte;Quel concept/ouvrage est lié à Zénon de Citium ?;Le stoïcisme
621;Sciences & Tech;Inventions;vrai/faux;Vrai ou faux : Imprimante 3D est associé(e) à Chuck Hull ?;Vrai
622;Arts plastiques & Architecture;Œuvres emblématiques;ouverte;Quelle œuvre célèbre est associée à Pablo Picasso ?;Guernica
623;Sport;Records & événements;ouverte;Jeu d'échecs : nombre de cases du plateau;64
624;Musique;Œuvres, genres, artistes;vrai/faux;Vrai ou faux : Instrument à 88 touches — Piano ?;Vrai
625;Géographie;Capitales;vrai/faux;Vrai ou faux : Niamey est la capitale de Niger ?;Vrai
626;Philosophie & Pensée;Concepts clés;ouverte;Quel philosophe associe-t-on à : La banalité du mal ?;Hannah Arendt
627;Nature & Environnement;Faune, flore et climat;ouverte;Processus de disparition d'une espèce;Extinction
628;Géographie;Capitales;ouverte;Quelle est la capitale de Irlande ?;Dublin
629;Géographie;Capitales;ouverte;Quelle est la capitale de Somalie ?;Mogadiscio
630;Littérature;Œuvres et auteurs;vrai/faux;Vrai ou faux : « Kafka sur le rivage » est de Haruki Murakami ?;Vrai
631;Philosophie & Pensée;Concepts clés;ouverte;Quel concept/ouvrage est lié à Thomas Hobbes ?;Le Léviathan
632;Médecine & Corps humain;Anatomie/Soins;vrai/faux;Vrai ou faux : Nom de la bactérie de la tuberculose — Mycobacterium tuberculosis ?;Vrai
633;Géographie;Capitales;ouverte;Quelle est la capitale de Haïti ?;Port-au-Prince
634;Culture populaire;BD, mangas, jeux vidéo;ouverte;Nom du sabre laser bleu de Luke Skywalker;Anakin/Luke Lightsaber
635;Géographie;Capitales;ouverte;De quel pays Hanoï est-elle la capitale ?;Vietnam
636;Musique;Œuvres, genres, artistes;ouverte;Genre musical né à La Nouvelle-Orléans vers 1900;Jazz
637;Géographie;Capitales;vrai/faux;Vrai ou faux : Bamako est la capitale de Mali ?;Vrai
638;Sciences & Tech;Inventions;ouverte;Quelle invention/découverte est associée à Dov Moran (M-Systems) ?;Clé USB
639;Histoire;Dates clés;vrai/faux;Vrai ou faux : Premier pas sur la Lune a eu lieu en 1969 ?;Vrai
640;Transports & Explorations;Explorations & engins;ouverte;Aéronef géant allemand des années 1930;Zeppelin
641;Géographie;Capitales;ouverte;De quel pays Canberra est-elle la capitale ?;Australie
642;Médecine & Corps humain;Anatomie/Soins;ouverte;Pays d'apparition du virus Ebola;République démocratique du Congo
643;Philosophie & Pensée;Concepts clés;vrai/faux;Vrai ou faux : Michel Foucault est lié à Le biopouvoir ?;Vrai
644;Géographie;Capitales;ouverte;De quel pays Luanda est-elle la capitale ?;Angola
645;Littérature;Œuvres et auteurs;ouverte;Qui a écrit « Si par une nuit d'hiver un voyageur » ?;Italo Calvino
646;Sport;Records & événements;ouverte;Premier marathonien officiel moderne (1896);Spyridon Louis
647;Géographie;Capitales;ouverte;De quel pays Tbilissi est-elle la capitale ?;Géorgie
648;Littérature;Œuvres et auteurs;ouverte;Qui a écrit « 1984 » ?;George Orwell
649;Économie & Finance;Concepts & crises;ouverte;Concept économique : rapport entre prix et demande;Élasticité
650;Sciences & Tech;Inventions;vrai/faux;Vrai ou faux : Transistor est associé(e) à John Bardeen, William Shockley et Walter Brattain ?;Vrai
651;Politique & Institutions;Chefs d'État & organisations;ouverte;Vote d'une loi par le peuple : processus appelé;Référendum
652;Histoire;Dates clés;vrai/faux;Vrai ou faux : Attentats du 11 septembre a eu lieu en 2001 ?;Vrai
653;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Qatar est Gaborone ?;Faux (c'est Doha)
654;Littérature;Œuvres et auteurs;vrai/faux;Vrai ou faux : « Je sais pourquoi chante l'oiseau en cage » est de Maya Angelou ?;Vrai
655;Géographie;Capitales;ouverte;Quelle est la capitale de Kenya ?;Nairobi
656;Médecine & Corps humain;Anatomie/Soins;ouverte;Organe qui produit la bile;Le foie
657;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Grèce est Tachkent ?;Faux (c'est Athènes)
658;Langue française & Linguistique;Mots, figures et étymologie;vrai/faux;Vrai ou faux : Synonyme de 'pérégrination' — Voyage ?;Vrai
659;Géographie;Capitales;ouverte;Quelle est la capitale de Émirats arabes unis ?;Abou Dabi
660;Nature & Environnement;Faune, flore et climat;ouverte;Processus par lequel les plantes produisent du sucre;Photosynthèse
661;Culture populaire;BD, mangas, jeux vidéo;vrai/faux;Vrai ou faux : BD belge mettant en scène un reporter à houppe — Tintin ?;Vrai
662;Cinéma & Séries;Films, prix, répliques;ouverte;Série avec un professeur de chimie devenu baron de la drogue;Breaking Bad
663;Politique & Institutions;Chefs d'État & organisations;ouverte;Président américain assassiné à Dallas en 1963;John F. Kennedy
664;Politique & Institutions;Chefs d'État & organisations;ouverte;Régime politique où le pouvoir est détenu par le peuple;Démocratie
665;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Botswana est Rabat ?;Faux (c'est Gaborone)
666;Arts plastiques & Architecture;Œuvres emblématiques;ouverte;Qui a peint/sculpté « American Gothic » ?;Grant Wood
667;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Maroc est Rome ?;Faux (c'est Rabat)
668;Géographie;Capitales;vrai/faux;Vrai ou faux : Tripoli est la capitale de Libye ?;Vrai
669;Géographie;Capitales;ouverte;De quel pays Nairobi est-elle la capitale ?;Kenya
670;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Corée du Sud est Saint-Domingue ?;Faux (c'est Séoul)
671;Cinéma & Séries;Films, prix, répliques;vrai/faux;Vrai ou faux : Réalisateur de 'Parasite' — Bong Joon-ho ?;Vrai
672;Arts plastiques & Architecture;Œuvres emblématiques;ouverte;Quelle œuvre célèbre est associée à Piet Mondrian ?;Composition avec rouge, jaune et bleu
673;Histoire;Dates clés;ouverte;Quel événement historique s'est produit en 2002 ?;Introduction de l'euro fiduciaire
674;Géographie;Capitales;ouverte;De quel pays Nicosie est-elle la capitale ?;Chypre
675;Littérature;Œuvres et auteurs;ouverte;Quelle œuvre majeure doit-on à Italo Calvino ?;Si par une nuit d'hiver un voyageur
676;Transports & Explorations;Explorations & engins;ouverte;Nom du train à grande vitesse français;TGV
677;Géographie;Capitales;ouverte;Quelle est la capitale de Maurice ?;Port-Louis
678;Philosophie & Pensée;Concepts clés;ouverte;Quel concept/ouvrage est lié à René Descartes ?;Le cogito
